========================================
         BYBIT OHLC DATA
========================================
Symbol     : 1000BONKUSDT
Category   : linear
Timeframe  : 5m
Total Data : 26496 candle
Dari       : 2025-10-01 00:00:00 UTC
Sampai     : 2025-12-31 23:55:00 UTC
Generated  : 2026-05-15 05:49:41 UTC
========================================

Waktu (UTC)              | Open          High          Low           Close         Volume          
-------------------------|-------------------------------------------------------------------------
2025-10-01 00:00:00      | 0.019145      0.019218      0.019143      0.019182      8535500.0000    
2025-10-01 00:05:00      | 0.019182      0.019207      0.019139      0.019156      4201500.0000    
2025-10-01 00:10:00      | 0.019156      0.019163      0.019116      0.019125      3680100.0000    
2025-10-01 00:15:00      | 0.019125      0.019126      0.019071      0.019082      8514400.0000    
2025-10-01 00:20:00      | 0.019082      0.019089      0.019029      0.019054      6735700.0000    
2025-10-01 00:25:00      | 0.019054      0.019068      0.019020      0.019029      5568700.0000    
2025-10-01 00:30:00      | 0.019029      0.019070      0.019001      0.019063      14335200.0000   
2025-10-01 00:35:00      | 0.019063      0.019065      0.018998      0.019009      3268200.0000    
2025-10-01 00:40:00      | 0.019009      0.019022      0.018968      0.018988      6911100.0000    
2025-10-01 00:45:00      | 0.018988      0.019021      0.018969      0.018983      12711200.0000   
2025-10-01 00:50:00      | 0.018983      0.019084      0.018983      0.019068      5382000.0000    
2025-10-01 00:55:00      | 0.019068      0.019092      0.019047      0.019066      6640700.0000    
2025-10-01 01:00:00      | 0.019066      0.019082      0.019035      0.019080      2376400.0000    
2025-10-01 01:05:00      | 0.019080      0.019108      0.019071      0.019108      2077500.0000    
2025-10-01 01:10:00      | 0.019108      0.019132      0.019086      0.019095      3104000.0000    
2025-10-01 01:15:00      | 0.019095      0.019112      0.019052      0.019056      11687200.0000   
2025-10-01 01:20:00      | 0.019056      0.019095      0.019023      0.019093      9407200.0000    
2025-10-01 01:25:00      | 0.019093      0.019165      0.019077      0.019154      22578100.0000   
2025-10-01 01:30:00      | 0.019154      0.019157      0.019087      0.019099      3908800.0000    
2025-10-01 01:35:00      | 0.019099      0.019178      0.019092      0.019178      3489800.0000    
2025-10-01 01:40:00      | 0.019178      0.019208      0.019166      0.019191      10442000.0000   
2025-10-01 01:45:00      | 0.019191      0.019234      0.019191      0.019221      13262800.0000   
2025-10-01 01:50:00      | 0.019221      0.019248      0.019194      0.019238      1701900.0000    
2025-10-01 01:55:00      | 0.019238      0.019261      0.019229      0.019251      8840800.0000    
2025-10-01 02:00:00      | 0.019251      0.019266      0.019223      0.019246      13470500.0000   
2025-10-01 02:05:00      | 0.019246      0.019258      0.019227      0.019238      2700000.0000    
2025-10-01 02:10:00      | 0.019238      0.019257      0.019218      0.019244      3096800.0000    
2025-10-01 02:15:00      | 0.019244      0.019293      0.019232      0.019285      4285600.0000    
2025-10-01 02:20:00      | 0.019285      0.019293      0.019247      0.019268      2550100.0000    
2025-10-01 02:25:00      | 0.019268      0.019323      0.019265      0.019284      3216700.0000    
2025-10-01 02:30:00      | 0.019284      0.019289      0.019213      0.019239      6004600.0000    
2025-10-01 02:35:00      | 0.019239      0.019260      0.019222      0.019232      4507300.0000    
2025-10-01 02:40:00      | 0.019232      0.019239      0.019211      0.019227      1091100.0000    
2025-10-01 02:45:00      | 0.019227      0.019266      0.019212      0.019235      3086700.0000    
2025-10-01 02:50:00      | 0.019235      0.019246      0.019209      0.019231      850000.0000     
2025-10-01 02:55:00      | 0.019231      0.019240      0.019196      0.019208      2523600.0000    
2025-10-01 03:00:00      | 0.019208      0.019242      0.019195      0.019213      3472000.0000    
2025-10-01 03:05:00      | 0.019213      0.019255      0.019202      0.019244      1960800.0000    
2025-10-01 03:10:00      | 0.019244      0.019261      0.019216      0.019228      2721100.0000    
2025-10-01 03:15:00      | 0.019228      0.019235      0.019183      0.019211      4929700.0000    
2025-10-01 03:20:00      | 0.019211      0.019240      0.019191      0.019233      11183200.0000   
2025-10-01 03:25:00      | 0.019233      0.019261      0.019190      0.019196      7042000.0000    
2025-10-01 03:30:00      | 0.019196      0.019213      0.019156      0.019176      10516700.0000   
2025-10-01 03:35:00      | 0.019176      0.019195      0.019156      0.019160      8147800.0000    
2025-10-01 03:40:00      | 0.019160      0.019161      0.019098      0.019102      9629800.0000    
2025-10-01 03:45:00      | 0.019102      0.019102      0.019008      0.019024      17209400.0000   
2025-10-01 03:50:00      | 0.019024      0.019035      0.018993      0.019008      9063700.0000    
2025-10-01 03:55:00      | 0.019008      0.019023      0.018984      0.018995      3353300.0000    
2025-10-01 04:00:00      | 0.018995      0.019121      0.018975      0.019082      6404600.0000    
2025-10-01 04:05:00      | 0.019082      0.019137      0.019075      0.019082      11385300.0000   
2025-10-01 04:10:00      | 0.019082      0.019094      0.019055      0.019078      1975200.0000    
2025-10-01 04:15:00      | 0.019078      0.019161      0.019078      0.019159      4064400.0000    
2025-10-01 04:20:00      | 0.019159      0.019197      0.019127      0.019149      8560100.0000    
2025-10-01 04:25:00      | 0.019149      0.019170      0.019128      0.019156      2873000.0000    
2025-10-01 04:30:00      | 0.019156      0.019202      0.019124      0.019124      6193000.0000    
2025-10-01 04:35:00      | 0.019124      0.019198      0.019113      0.019124      2995000.0000    
2025-10-01 04:40:00      | 0.019124      0.019169      0.019111      0.019125      1803900.0000    
2025-10-01 04:45:00      | 0.019125      0.019188      0.019117      0.019175      6530600.0000    
2025-10-01 04:50:00      | 0.019175      0.019180      0.019045      0.019078      9943800.0000    
2025-10-01 04:55:00      | 0.019078      0.019083      0.019053      0.019063      3964600.0000    
2025-10-01 05:00:00      | 0.019063      0.019151      0.019063      0.019107      16527100.0000   
2025-10-01 05:05:00      | 0.019107      0.019175      0.019107      0.019160      7916200.0000    
2025-10-01 05:10:00      | 0.019160      0.019221      0.019148      0.019158      7197000.0000    
2025-10-01 05:15:00      | 0.019158      0.019235      0.019127      0.019224      8598400.0000    
2025-10-01 05:20:00      | 0.019224      0.019227      0.019159      0.019174      5478100.0000    
2025-10-01 05:25:00      | 0.019174      0.019183      0.019146      0.019167      5448100.0000    
2025-10-01 05:30:00      | 0.019167      0.019217      0.019137      0.019217      3178800.0000    
2025-10-01 05:35:00      | 0.019217      0.019238      0.019181      0.019234      10185400.0000   
2025-10-01 05:40:00      | 0.019234      0.019242      0.019208      0.019233      4671500.0000    
2025-10-01 05:45:00      | 0.019233      0.019240      0.019208      0.019223      3558400.0000    
2025-10-01 05:50:00      | 0.019223      0.019228      0.019174      0.019189      3640700.0000    
