========================================
         BYBIT OHLC DATA
========================================
Symbol     : 1000BONKUSDT
Category   : linear
Timeframe  : 5m
Total Data : 35136 candle
Dari       : 2025-06-01 00:00:00 UTC
Sampai     : 2025-09-30 23:55:00 UTC
Generated  : 2026-05-15 05:36:52 UTC
========================================

Waktu (UTC)              | Open          High          Low           Close         Volume          
-------------------------|-------------------------------------------------------------------------
2025-06-01 00:00:00      | 0.016549      0.016560      0.016413      0.016454      25251500.0000   
2025-06-01 00:05:00      | 0.016454      0.016517      0.016454      0.016503      12972200.0000   
2025-06-01 00:10:00      | 0.016503      0.016505      0.016367      0.016410      25236400.0000   
2025-06-01 00:15:00      | 0.016410      0.016436      0.016298      0.016350      47022700.0000   
2025-06-01 00:20:00      | 0.016350      0.016446      0.016343      0.016422      26443300.0000   
2025-06-01 00:25:00      | 0.016422      0.016435      0.016379      0.016392      3847700.0000    
2025-06-01 00:30:00      | 0.016392      0.016440      0.016368      0.016440      6022900.0000    
2025-06-01 00:35:00      | 0.016440      0.016525      0.016439      0.016511      3188500.0000    
2025-06-01 00:40:00      | 0.016511      0.016550      0.016503      0.016550      1630600.0000    
2025-06-01 00:45:00      | 0.016550      0.016589      0.016502      0.016512      3769600.0000    
2025-06-01 00:50:00      | 0.016512      0.016527      0.016415      0.016419      2609000.0000    
2025-06-01 00:55:00      | 0.016419      0.016471      0.016416      0.016462      3029900.0000    
2025-06-01 01:00:00      | 0.016462      0.016497      0.016432      0.016482      1985200.0000    
2025-06-01 01:05:00      | 0.016482      0.016497      0.016379      0.016387      9537700.0000    
2025-06-01 01:10:00      | 0.016387      0.016522      0.016373      0.016509      2557600.0000    
2025-06-01 01:15:00      | 0.016509      0.016555      0.016425      0.016450      3430000.0000    
2025-06-01 01:20:00      | 0.016450      0.016481      0.016430      0.016440      3410500.0000    
2025-06-01 01:25:00      | 0.016440      0.016505      0.016430      0.016460      2006000.0000    
2025-06-01 01:30:00      | 0.016460      0.016476      0.016394      0.016398      2332600.0000    
2025-06-01 01:35:00      | 0.016398      0.016415      0.016371      0.016382      3572900.0000    
2025-06-01 01:40:00      | 0.016382      0.016409      0.016352      0.016354      2223500.0000    
2025-06-01 01:45:00      | 0.016354      0.016465      0.016354      0.016450      4086100.0000    
2025-06-01 01:50:00      | 0.016450      0.016450      0.016268      0.016302      25795400.0000   
2025-06-01 01:55:00      | 0.016302      0.016377      0.016302      0.016357      20281300.0000   
2025-06-01 02:00:00      | 0.016357      0.016358      0.016236      0.016256      31937400.0000   
2025-06-01 02:05:00      | 0.016256      0.016271      0.016150      0.016151      15095700.0000   
2025-06-01 02:10:00      | 0.016151      0.016239      0.016149      0.016175      20331400.0000   
2025-06-01 02:15:00      | 0.016175      0.016277      0.016175      0.016242      6072600.0000    
2025-06-01 02:20:00      | 0.016242      0.016286      0.016231      0.016266      1576900.0000    
2025-06-01 02:25:00      | 0.016266      0.016395      0.016266      0.016384      7392400.0000    
2025-06-01 02:30:00      | 0.016384      0.016432      0.016382      0.016401      4108000.0000    
2025-06-01 02:35:00      | 0.016401      0.016457      0.016392      0.016429      3293600.0000    
2025-06-01 02:40:00      | 0.016429      0.016467      0.016395      0.016403      3677500.0000    
2025-06-01 02:45:00      | 0.016403      0.016451      0.016350      0.016445      3512300.0000    
2025-06-01 02:50:00      | 0.016445      0.016457      0.016404      0.016427      2943600.0000    
2025-06-01 02:55:00      | 0.016427      0.016431      0.016372      0.016379      1174700.0000    
2025-06-01 03:00:00      | 0.016379      0.016424      0.016362      0.016382      1977500.0000    
2025-06-01 03:05:00      | 0.016382      0.016402      0.016323      0.016337      2045200.0000    
2025-06-01 03:10:00      | 0.016337      0.016375      0.016317      0.016343      2378900.0000    
2025-06-01 03:15:00      | 0.016343      0.016384      0.016306      0.016316      2680400.0000    
2025-06-01 03:20:00      | 0.016316      0.016353      0.016219      0.016226      5289100.0000    
2025-06-01 03:25:00      | 0.016226      0.016287      0.016226      0.016268      13522100.0000   
2025-06-01 03:30:00      | 0.016268      0.016380      0.016245      0.016359      26347000.0000   
2025-06-01 03:35:00      | 0.016359      0.016401      0.016354      0.016370      5191000.0000    
2025-06-01 03:40:00      | 0.016370      0.016388      0.016359      0.016362      1244600.0000    
2025-06-01 03:45:00      | 0.016362      0.016446      0.016362      0.016412      4279600.0000    
2025-06-01 03:50:00      | 0.016412      0.016434      0.016379      0.016386      1310500.0000    
2025-06-01 03:55:00      | 0.016386      0.016393      0.016354      0.016361      3732500.0000    
2025-06-01 04:00:00      | 0.016361      0.016380      0.016329      0.016339      5300400.0000    
2025-06-01 04:05:00      | 0.016339      0.016350      0.016306      0.016316      1750200.0000    
2025-06-01 04:10:00      | 0.016316      0.016341      0.016301      0.016325      1418700.0000    
2025-06-01 04:15:00      | 0.016325      0.016436      0.016324      0.016422      3241000.0000    
2025-06-01 04:20:00      | 0.016422      0.016455      0.016409      0.016414      3568800.0000    
2025-06-01 04:25:00      | 0.016414      0.016468      0.016405      0.016427      3021900.0000    
2025-06-01 04:30:00      | 0.016427      0.016549      0.016427      0.016522      10388600.0000   
2025-06-01 04:35:00      | 0.016522      0.016600      0.016504      0.016577      17327000.0000   
2025-06-01 04:40:00      | 0.016577      0.016590      0.016546      0.016550      8673300.0000    
2025-06-01 04:45:00      | 0.016550      0.016636      0.016546      0.016579      9019600.0000    
2025-06-01 04:50:00      | 0.016579      0.016614      0.016558      0.016589      7185600.0000    
2025-06-01 04:55:00      | 0.016589      0.016595      0.016552      0.016559      5333200.0000    
2025-06-01 05:00:00      | 0.016559      0.016656      0.016552      0.016592      10124400.0000   
2025-06-01 05:05:00      | 0.016592      0.016621      0.016544      0.016545      8515400.0000    
2025-06-01 05:10:00      | 0.016545      0.016555      0.016499      0.016523      1804100.0000    
2025-06-01 05:15:00      | 0.016523      0.016541      0.016513      0.016525      1603800.0000    
2025-06-01 05:20:00      | 0.016525      0.016533      0.016451      0.016452      5385500.0000    
2025-06-01 05:25:00      | 0.016452      0.016492      0.016452      0.016460      3370100.0000    
2025-06-01 05:30:00      | 0.016460      0.016502      0.016435      0.016488      2768100.0000    
2025-06-01 05:35:00      | 0.016488      0.016557      0.016488      0.016503      6020700.0000    
2025-06-01 05:40:00      | 0.016503      0.016514      0.016422      0.016426      6191800.0000    
2025-06-01 05:45:00      | 0.016426      0.016427      0.016325      0.016392      20460700.0000   
2025-06-01 05:50:00      | 0.016392      0.016424      0.016378      0.016421      5515900.0000    
2025-06-01 05:55:00      | 0.016421      0.016425      0.016395      0.016409      411700.0000     
2025-06-01 06:00:00      | 0.016409      0.016421      0.016366      0.016378      2812200.0000    
2025-06-01 06:05:00      | 0.016378      0.016382      0.016340      0.016368      5562800.0000    
2025-06-01 06:10:00      | 0.016368      0.016369      0.016335      0.016343      3802600.0000    
2025-06-01 06:15:00      | 0.016343      0.016348      0.016304      0.016328      2472600.0000    
2025-06-01 06:20:00      | 0.016328      0.016337      0.016290      0.016319      3675400.0000    
2025-06-01 06:25:00      | 0.016319      0.016399      0.016319      0.016385      6106300.0000    
2025-06-01 06:30:00      | 0.016385      0.016427      0.016380      0.016416      1017300.0000    
2025-06-01 06:35:00      | 0.016416      0.016444      0.016370      0.016373      1863400.0000    
2025-06-01 06:40:00      | 0.016373      0.016390      0.016356      0.016356      874300.0000     
2025-06-01 06:45:00      | 0.016356      0.016369      0.016289      0.016338      1839100.0000    
